"region";"kjønn";"alder";"år";"statistikkvariabel";"13600: Framskrevet folkemengde 1. januar, etter region, kjønn, alder, år og statistikkvariabel"
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2036";"Hovedalternativet (MMMM)";181165
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2037";"Hovedalternativet (MMMM)";181864
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2038";"Hovedalternativet (MMMM)";183177
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2039";"Hovedalternativet (MMMM)";184867
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2040";"Hovedalternativet (MMMM)";186622
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2041";"Hovedalternativet (MMMM)";187912
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2042";"Hovedalternativet (MMMM)";187694
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2043";"Hovedalternativet (MMMM)";187358
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2044";"Hovedalternativet (MMMM)";185204
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2045";"Hovedalternativet (MMMM)";182911
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2046";"Hovedalternativet (MMMM)";181060
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2047";"Hovedalternativet (MMMM)";179978
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2048";"Hovedalternativet (MMMM)";178057
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2049";"Hovedalternativet (MMMM)";176446
"0 Hele landet";"1 Menn";"F30-34 30-34 år";"2050";"Hovedalternativet (MMMM)";174406
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2022";"Hovedalternativet (MMMM)";186786
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2023";"Hovedalternativet (MMMM)";189037
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2024";"Hovedalternativet (MMMM)";192295
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2025";"Hovedalternativet (MMMM)";195403
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2026";"Hovedalternativet (MMMM)";198220
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2027";"Hovedalternativet (MMMM)";200152
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2028";"Hovedalternativet (MMMM)";201998
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2029";"Hovedalternativet (MMMM)";201442
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2030";"Hovedalternativet (MMMM)";200362
"0 Hele landet";"1 Menn";"F35-39 35-39 år";"2031";"Hovedalternativet (MMMM)";199026
